"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.14819894653402e-17,0.583406636322294,0.722,0.647,4.01197635254694e-13,"2","Cyba"
2.48868951107529e-17,1.38257913304494,0.149,0.054,4.64787653088421e-13,"2","Rbm47"
2.68421490343285e-17,2.10066424659493,0.125,0.041,5.01303975365119e-13,"2","Acsbg1"
2.71699665270499e-17,2.0909351643075,0.125,0.041,5.07426294859184e-13,"2","Timp4"
3.43953992172403e-17,1.02378956150012,0.257,0.13,6.4236847578118e-13,"2","Tmem37"
3.55163435035648e-17,1.31006295761189,0.204,0.094,6.63303231272576e-13,"2","Hcls1"
3.5619802763736e-17,1.64042397408016,0.131,0.044,6.65235436415534e-13,"2","Cd180"
3.93937267985019e-17,0.97079264508067,0.268,0.14,7.35717241688821e-13,"2","Nrros"
3.99297251636414e-17,1.78272148431328,0.153,0.058,7.45727547156167e-13,"2","Cspg5"
4.4130463976127e-17,0.814515204851693,0.598,0.475,8.24180545218147e-13,"2","Sgk1"
4.63505433700823e-17,1.92359315808335,0.134,0.047,8.65642747979656e-13,"2","Mlc1"
5.55075215975637e-17,1.38438302110372,0.188,0.083,1.0366584733561e-12,"2","Tbxas1"
5.86669742177655e-17,1.00276469651612,0.335,0.196,1.09566441049099e-12,"2","Pik3r1"
6.20401548367502e-17,0.845262786436799,0.377,0.232,1.15866193173115e-12,"2","Cd164"
6.67121778150403e-17,0.744157151262251,0.731,0.67,1.24591663287369e-12,"2","Btg2"
7.52160794798564e-17,1.61675560211025,0.148,0.056,1.4047355003658e-12,"2","Slc46a1"
7.77063938133654e-17,0.826919439485748,0.23,0.111,1.45124461085841e-12,"2","Rac2"
7.86886393906465e-17,0.836129929227837,0.491,0.353,1.46958902925971e-12,"2","Rnase4"
9.01752276670315e-17,1.88648735397393,0.169,0.071,1.68411255190948e-12,"2","Ttyh1"
1.00422055045587e-16,1.0825109537601,0.241,0.12,1.87548230003138e-12,"2","Oxct1"
1.14343267009529e-16,2.04235404577309,0.116,0.036,2.13547485466996e-12,"2","Acsl6"
1.20474130719026e-16,1.56632470477301,0.132,0.045,2.24997486530854e-12,"2","Havcr2"
1.28043689789302e-16,1.84119377081197,0.12,0.038,2.391343950505e-12,"2","S100b"
1.29446185959796e-16,1.12801024248711,0.235,0.117,2.41753696898516e-12,"2","Plekho1"
1.44622070472832e-16,1.64133238128043,0.106,0.03,2.70096178815061e-12,"2","Sirt3"
1.50879612429156e-16,0.952463650830601,0.33,0.195,2.81782764172691e-12,"2","Cadm1"
1.53596727833214e-16,1.77870623200239,0.131,0.046,2.8685724890131e-12,"2","Ubash3b"
1.56061141322619e-16,1.09580043151079,0.223,0.109,2.91459787534123e-12,"2","Hck"
1.62738801045608e-16,1.69394500109877,0.132,0.046,3.03930984832778e-12,"2","Kcnk1"
1.63393854447565e-16,0.565219674732601,0.541,0.394,3.05154362566272e-12,"2","Ctsc"
1.75691815578337e-16,1.5999368581823,0.13,0.045,3.28122034774101e-12,"2","Pde3b"
1.92153367811707e-16,0.808378811096598,0.478,0.339,3.58865629725144e-12,"2","Camk1"
1.92559161137974e-16,0.68835456052313,0.456,0.308,3.59623489341281e-12,"2","Atp6ap2"
2.05347505789788e-16,1.31194045030299,0.167,0.069,3.83507001813007e-12,"2","Akr1b10"
2.21219125203874e-16,0.749526709216282,0.38,0.235,4.13148838230755e-12,"2","Ppt1"
2.31966840006428e-16,1.66877695497801,0.464,0.348,4.33221270396005e-12,"2","Clu"
2.59771221731163e-16,0.725897119338248,0.503,0.366,4.85148733705121e-12,"2","Tspan3"
3.88300105210567e-16,1.81404575438094,0.167,0.071,7.25189276491255e-12,"2","F3"
3.98449529911353e-16,1.75616280354697,0.152,0.061,7.44144342062443e-12,"2","Gjb6"
4.47063016944593e-16,0.984135794191982,0.266,0.143,8.34934890445722e-12,"2","Ccl9"
5.13357500509386e-16,1.79792870579645,0.137,0.051,9.5874646795133e-12,"2","Ptprz1"
5.37323297874035e-16,1.60304097686795,0.119,0.039,1.00350499110955e-11,"2","Hvcn1"
5.6764844731064e-16,1.28140113366864,0.169,0.072,1.06014024019735e-11,"2","Cd300a"
5.73733634653174e-16,1.80787095248366,0.138,0.051,1.07150493607827e-11,"2","Fbxo2"
5.983273050648e-16,1.72244882622207,0.256,0.143,1.11743607493902e-11,"2","Slc1a2"
6.06945889958095e-16,1.16661818352864,0.224,0.112,1.13353214408574e-11,"2","Ang"
7.10620502704215e-16,1.46688905641766,0.142,0.054,1.32715485085039e-11,"2","Fam46a"
7.47736259629105e-16,1.67997942384844,0.121,0.041,1.39647223848332e-11,"2","Ppp1r1b"
7.52458330936158e-16,1.14872035958798,0.215,0.104,1.40529117885637e-11,"2","Gmfg"
9.07552523590365e-16,1.46513771094434,0.15,0.058,1.69494509305737e-11,"2","Il21r"
1.09920098304985e-15,1.12594987220618,0.178,0.079,2.0528677559439e-11,"2","Igfbp2"
1.19555439175385e-15,1.0726886172239,0.264,0.144,2.23281738203948e-11,"2","Rogdi"
1.52325532848952e-15,1.11044464195697,0.227,0.115,2.84483165148703e-11,"2","Gm12166"
1.71424347133983e-15,1.62680754490688,0.144,0.057,3.20152110707426e-11,"2","Oaf"
2.003158637347e-15,1.45253536429805,0.141,0.055,3.74109907110927e-11,"2","1700017B05Rik"
2.36337109022891e-15,1.47309991707422,0.119,0.04,4.41383184811152e-11,"2","Sall3"
2.5185966887939e-15,1.01646939455979,0.253,0.136,4.70373117599148e-11,"2","C3ar1"
2.59266684663071e-15,0.838838136177816,0.311,0.181,4.84206460276752e-11,"2","Sdf2l1"
